country_code,name,type,gender,population
PL,Mucka,lastname,,16
CZ,Stankušová,lastname,F,95
HU,Gerevics,lastname,U,6
HU,Kneusel-Herdliczka,lastname,U,6
PL,Dobrzońska,lastname,,
PL,Soborska,lastname,F,199
PL,Florjańczyk,lastname,,94
PL,Kalarin,lastname,,2
HU,Richárd Jakab,firstname,M,1
PL,Sztotgryn,lastname,,5
SK,Velšic,lastname,,19
CZ,Davidčuk,lastname,M,5
CZ,Kodíčková,lastname,F,11
HU,Bolvari,lastname,U,3
CZ,Vízdal,lastname,M,57
HU,Hahn-Kakas,lastname,U,15
CZ,Matěj Mike,firstname,,1
CZ,Gája,firstname,,26
PL,Skandelska,lastname,,
PL,Bortczuk,lastname,,
CZ,Tim Garret,firstname,,1
SK,Rudá,lastname,,11
CZ,Prodaj,lastname,M,3
HU,Ali Dániel,firstname,M,1
PL,Chwiełkowski,lastname,M,3
HU,Marleen,firstname,,1
CZ,Mikolášíková,lastname,F,4
SK,Zemančíková,lastname,,70
PL,Deldzionek,lastname,,
CZ,Rubák,lastname,M,46
PL,Faskowicz,lastname,,1
SK,Holobka,firstname,,
PL,Klikicka,lastname,F,9
PL,Bręciuk,lastname,,1
PL,Neubaum,lastname,,19
SK,Humenansky,firstname,,
SK,Gogoľ,lastname,,29
PL,Heljasz,lastname,,8
CZ,Mičunovičová,lastname,F,10
CZ,Hühneová,lastname,F,2
PL,Epelman,lastname,,2
PL,Brich,lastname,,18
HU,Ponomarenko,lastname,U,9
HU,Abdelwahab,lastname,U,3
PL,Hotub,lastname,,1
PL,Sołtan,lastname,,578
CZ,Seibold,lastname,M,1
HU,Laura Antónia,firstname,F,5
CZ,Sopín,lastname,M,2
PL,Godzil,lastname,,
PL,Sycin,lastname,,9
PL,Biszcz,lastname,,10
CZ,Lička,lastname,M,282
CZ,Holejšovský,lastname,M,113
CZ,Komišová,lastname,F,16
HU,Lombos,lastname,U,129
PL,Maslukiewicz,lastname,,1
CZ,Jonas Patrick,firstname,,1
SK,Mozdenová,lastname,,3
HU,Rebeka Ilona,firstname,F,14
PL,Konczuchidze,lastname,,3
CZ,Selvička,lastname,M,11
HU,Terdikné Pásztor,lastname,F,3
SK,Kocianová,firstname,,
CZ,Kolorédyová,lastname,F,1
PL,Bouffał,lastname,,6
HU,Sára Cseperke,firstname,F,1
HU,Patrik Sándor,firstname,M,80
PL,Słupień,lastname,,6
SK,Lásková,firstname,,
SK,Horňáčeková,lastname,,38
HU,Ivántsy,lastname,U,3
PL,Łagieńska,lastname,,
HU,Krisztinaemese,firstname,,1
PL,Baksza,lastname,,3
HU,Papincsákné Dömötör,lastname,F,3
PL,Świstek,lastname,,826
HU,Tifani Lili,firstname,F,4
PL,Zgiep,lastname,,216
CZ,Bělotová,lastname,F,30
PL,Ferdubińska,lastname,F,9
HU,Korpádi,lastname,U,84
HU,Lili Auróra,firstname,F,1
PL,Pachniak,lastname,,121
SK,Briškár,lastname,,40
PL,Weronejko,lastname,,
CZ,Selská,lastname,M,9
SK,Kaníková,lastname,,85
HU,Ádám Vid,firstname,M,1
PL,Szkirman,lastname,,17
SK,Klimčo,lastname,,35
PL,Segalewicz,lastname,,10
HU,Elizabett Cintia,firstname,F,1
HU,Kis-Sebestyén,lastname,U,6
PL,Humenik,lastname,,
SK,Pastirčík,lastname,,24
PL,Tarnoruda,lastname,,1
PL,Cymers,lastname,,3
CZ,Treutler,lastname,M,8
PL,Ruduchowska,lastname,,1
CZ,Mothejzíková,lastname,F,37
PL,Nakażnik,lastname,,1
CZ,Peňačková,lastname,F,1
PL,Bublinowicz,lastname,,
PL,Dobronowska,lastname,,1
CZ,Lukas James,firstname,,2
PL,Daszt,lastname,,
PL,Schwacz,lastname,,
CZ,Sada Bergrová,lastname,F,1
CZ,Stachowská,lastname,M,1
PL,Druszczyński,lastname,M,17
CZ,Paálová,lastname,F,7
PL,Masiakiewicz,lastname,,31
PL,Kalbarz,lastname,,69
PL,Rygwelska,lastname,F,15
HU,Lipl,lastname,U,3
CZ,Valášek,lastname,M,1730
CZ,Thomas Geoffrey,firstname,,1
SK,Balajka,lastname,,42
PL,Ciecwiera,lastname,,1
PL,Gonsch,lastname,,7
HU,Fruzsina Anett,firstname,F,4
SK,Kanuščin,lastname,,2
CZ,Daniel Andrej,firstname,,1
CZ,Plešivková,lastname,F,6
PL,Piaskowy,lastname,M,215
PL,Żarnaciuk,lastname,,1
PL,Brunk,lastname,,
CZ,Heszová,lastname,F,1
PL,Gwardys,lastname,,469
HU,Rimel,lastname,U,9
SK,Francisty,lastname,,3
SK,Žídek,lastname,,40
CZ,Pakhofferová,lastname,F,3
CZ,Nhu Ngoc,firstname,,1
PL,Fielek,lastname,,206
PL,Żwirek,lastname,,345
HU,Ágnes Ursula,firstname,F,1
PL,Pobiegło,lastname,,60
PL,Pażusienie,lastname,,1
CZ,Saintgermainová,lastname,F,2
HU,Dália Josete De Almeida,firstname,F,1
PL,Ogórkis,lastname,,151
HU,Zoé Natasa,firstname,F,1
CZ,Adam Bahiya,firstname,,1
HU,Csépányi-Tamás,lastname,U,3
CZ,Mieglová,lastname,F,18
HU,Juhászné Horváth,lastname,F,3
CZ,Tliliová,lastname,F,1
CZ,Lemeshko,lastname,M,2
PL,Zemrzycka,lastname,F,60
PL,Gardela,lastname,,2
PL,Wont,lastname,,
PL,Trygubow,lastname,,1
CZ,Floryánová,lastname,F,11
CZ,Leandera,firstname,,1
CZ,Harbáčková,lastname,F,23
PL,Wazgo-Majewska,lastname,,4
HU,Szanto,lastname,U,12
CZ,Politzerová,lastname,F,23
HU,Hanulik,lastname,U,6
PL,Pezacki,lastname,M,146
CZ,Zięć,lastname,M,1
HU,Kolonits,lastname,U,99
CZ,Regerová,lastname,F,24
PL,Atałańska,lastname,,
CZ,Duc Trung,firstname,,3
SK,Prega,lastname,,13
PL,Muskus,lastname,,205
CZ,Capasso,lastname,M,1
CZ,Pempuš,lastname,M,6
PL,Pakeltys,lastname,,17
PL,Dadło,lastname,,1
SK,Huňora,firstname,,
CZ,Prygl,lastname,M,34
PL,Korlalewska,lastname,,
CZ,Zicha,lastname,M,346
PL,Mościk,lastname,,
CZ,Poltavcev,lastname,M,1
PL,Kotlerska,lastname,,
CZ,Schmidt Knoblochová,lastname,F,1
PL,Augusiewicz,lastname,,99
CZ,Belaj,lastname,M,3
HU,Márton Rafael,firstname,M,3
CZ,Kamill,firstname,,1
CZ,Rajčinov,lastname,M,1
CZ,Masejtek,lastname,M,2
HU,Fajnal,lastname,U,9
CZ,Muzenda,lastname,M,1
PL,Krościel,lastname,,1
CZ,Zajitzová,lastname,F,7
PL,Marzula,lastname,,
CZ,Drahomíra Kamila,firstname,,1
HU,Nuridzsán,lastname,U,
SK,Šálková,lastname,,99
PL,Snykowska,lastname,,
HU,Írisz Bernadett,firstname,F,1
CZ,Slávko,firstname,,4
PL,Beszt,lastname,,5
HU,Egriné Aux,lastname,F,3
PL,Libigodzki,lastname,M,1
PL,Głemza,lastname,,1
CZ,Tomcsanyi,lastname,M,1
PL,Malżyk,lastname,,
CZ,Wachtelová,lastname,F,15
PL,Szelenicka,lastname,,
SK,Mavrodievá,lastname,,2
HU,Áron Kristóf,firstname,M,19
PL,Kupricz,lastname,,1
CZ,Tomalská,lastname,M,7
PL,Mrożkowska,lastname,F,1
SK,Schurmann,firstname,,
CZ,Assanti,lastname,M,1
PL,Dokorno,lastname,,1
PL,Dobciński,lastname,M,2
PL,Pavelka,lastname,,1
SK,Filkusová,lastname,,32
PL,Łataniecki,lastname,M,1
PL,Werkiewska,lastname,,
CZ,Zdzisław,firstname,,7
PL,Ligęski,lastname,M,205
PL,Folgner,lastname,,14
PL,Śniszewski,lastname,M,12
CZ,Godfrýdová,lastname,F,1
CZ,Fatarella,lastname,M,1
CZ,Ozsvath,lastname,M,1
HU,Sweitzer,lastname,U,
CZ,Kozány,lastname,M,3
CZ,Kirill,firstname,,28
HU,Sértő-Radics,lastname,U,3
PL,Szambierska,lastname,,
CZ,Pavlyková,lastname,F,5
SK,Trmanck,firstname,,
PL,Żdżalik,lastname,,41
HU,Vasáros,lastname,U,126
HU,Szaszki,lastname,U,9
HU,Leszkoven,lastname,U,21
HU,Katalin Cecília,firstname,F,6
PL,Warnacka,lastname,F,1
CZ,Križo,lastname,M,4
CZ,Demedjuková,lastname,F,2
SK,Hajducko,lastname,,
HU,Aina Boglárka,firstname,F,1
HU,Angéla Janka,firstname,F,1
HU,Wittendorfer,lastname,U,3
CZ,Řebíčková Minxová,lastname,F,1
PL,Gliczkowska,lastname,,
PL,Pigul,lastname,,20
HU,Fietje,lastname,U,3
HU,Imre Lóránt,firstname,M,1
CZ,Chrtiansky,lastname,M,1
PL,Wszół,lastname,,77
PL,Ogłazowska,lastname,,
CZ,Dihelová,lastname,F,15
CZ,Soualmia,lastname,M,3
SK,Škutka,lastname,,102
HU,Nerella,firstname,F,1
SK,Pleskotová,lastname,,5
SK,Redmond,firstname,M,
SK,Aurea,firstname,F,
PL,Łucyn,lastname,,60
CZ,Necudová,lastname,F,13
